[collect] 1720 cells already recorded in ad_shard0.jsonl
[collect] 1169 tasks over 9 databases | target=GLM-5.3-Flash
  [have] bare: complete
    p2_A_kimi_s0_g0: 200/1169 acc=0.635
    p2_A_kimi_s0_g0: 300/1169 acc=0.657
    p2_A_kimi_s0_g0: 400/1169 acc=0.667
    p2_A_kimi_s0_g0: 500/1169 acc=0.670
    p2_A_kimi_s0_g0: 600/1169 acc=0.670
    p2_A_kimi_s0_g0: 700/1169 acc=0.689
    p2_A_kimi_s0_g0: 800/1169 acc=0.703
    p2_A_kimi_s0_g0: 900/1169 acc=0.708
    p2_A_kimi_s0_g0: 1000/1169 acc=0.686
    p2_A_kimi_s0_g0: 1100/1169 acc=0.676
  [done] p2_A_kimi_s0_g0: official_acc=0.666 on 1169 new cells
    p2_A_kimi_s0_g4: 100/1169 acc=0.630
    p2_A_kimi_s0_g4: 200/1169 acc=0.670
    p2_A_kimi_s0_g4: 300/1169 acc=0.683
    p2_A_kimi_s0_g4: 400/1169 acc=0.682
    p2_A_kimi_s0_g4: 500/1169 acc=0.678
    p2_A_kimi_s0_g4: 600/1169 acc=0.677
    p2_A_kimi_s0_g4: 700/1169 acc=0.696
    p2_A_kimi_s0_g4: 800/1169 acc=0.711
    p2_A_kimi_s0_g4: 900/1169 acc=0.718
    p2_A_kimi_s0_g4: 1000/1169 acc=0.695
    p2_A_kimi_s0_g4: 1100/1169 acc=0.686
  [done] p2_A_kimi_s0_g4: official_acc=0.678 on 1169 new cells
    p2_A_kimi_s1_g0: 100/1169 acc=0.610
    p2_A_kimi_s1_g0: 200/1169 acc=0.660
    p2_A_kimi_s1_g0: 300/1169 acc=0.670
    p2_A_kimi_s1_g0: 400/1169 acc=0.667
    p2_A_kimi_s1_g0: 500/1169 acc=0.670
    p2_A_kimi_s1_g0: 600/1169 acc=0.668
    p2_A_kimi_s1_g0: 700/1169 acc=0.691
    p2_A_kimi_s1_g0: 800/1169 acc=0.710
    p2_A_kimi_s1_g0: 900/1169 acc=0.714
    p2_A_kimi_s1_g0: 1000/1169 acc=0.693
    p2_A_kimi_s1_g0: 1100/1169 acc=0.682
  [done] p2_A_kimi_s1_g0: official_acc=0.678 on 1169 new cells
    p2_A_kimi_s1_g4: 100/1169 acc=0.610
    p2_A_kimi_s1_g4: 200/1169 acc=0.640
    p2_A_kimi_s1_g4: 300/1169 acc=0.640
    p2_A_kimi_s1_g4: 400/1169 acc=0.652
    p2_A_kimi_s1_g4: 500/1169 acc=0.670
    p2_A_kimi_s1_g4: 600/1169 acc=0.667
    p2_A_kimi_s1_g4: 700/1169 acc=0.684
    p2_A_kimi_s1_g4: 800/1169 acc=0.701
    p2_A_kimi_s1_g4: 900/1169 acc=0.711
    p2_A_kimi_s1_g4: 1000/1169 acc=0.685
    p2_A_kimi_s1_g4: 1100/1169 acc=0.675
  [done] p2_A_kimi_s1_g4: official_acc=0.670 on 1169 new cells
    p2_A_minimax_s0_g0: 100/1169 acc=0.600
    p2_A_minimax_s0_g0: 200/1169 acc=0.635
    p2_A_minimax_s0_g0: 300/1169 acc=0.663
    p2_A_minimax_s0_g0: 400/1169 acc=0.675
    p2_A_minimax_s0_g0: 500/1169 acc=0.678
    p2_A_minimax_s0_g0: 600/1169 acc=0.678
    p2_A_minimax_s0_g0: 700/1169 acc=0.696
    p2_A_minimax_s0_g0: 800/1169 acc=0.714
    p2_A_minimax_s0_g0: 900/1169 acc=0.723
    p2_A_minimax_s0_g0: 1000/1169 acc=0.699
    p2_A_minimax_s0_g0: 1100/1169 acc=0.689
  [done] p2_A_minimax_s0_g0: official_acc=0.683 on 1169 new cells
    p2_A_minimax_s0_g5: 100/1169 acc=0.630
    p2_A_minimax_s0_g5: 200/1169 acc=0.640
    p2_A_minimax_s0_g5: 300/1169 acc=0.633
    p2_A_minimax_s0_g5: 400/1169 acc=0.647
    p2_A_minimax_s0_g5: 500/1169 acc=0.652
    p2_A_minimax_s0_g5: 600/1169 acc=0.645
