scenario,family,M,T,R,missing,statistic,support_rate,refuted_rate,abstain_rate,ci_coverage,mean_est,H_true,label
equal_hetero,null,9,400,10,complete,frozen_gain,0.0,0.0,0.9667,0.9333,0.00042,0.0,FPR
equal_hetero,null,9,400,10,complete,crossfit_gain,0.0,0.0,0.9867,0.9467,9e-05,0.0,FPR
equal_hetero,null,9,400,10,complete,clone_calibrated_v3,0.0133,0.0,0.9867,0.8733,0.00109,0.0,FPR
equal_hetero,null,9,400,20,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.11361,0.0,FPR
equal_hetero,null,9,400,20,complete,frozen_gain,0.0,0.0,0.9933,0.9733,0.00064,0.0,FPR
equal_hetero,null,9,400,20,complete,crossfit_gain,0.0,0.0,0.9733,0.96,0.00024,0.0,FPR
equal_hetero,null,9,400,20,complete,clone_calibrated_v3,0.0067,0.0,0.9933,0.9267,-0.00035,0.0,FPR
equal_hetero,null,3,400,3,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.15104,0.0,FPR
equal_hetero,null,3,400,3,complete,frozen_gain,0.0,0.0,0.9533,0.94,-0.00151,0.0,FPR
equal_hetero,null,3,400,3,complete,crossfit_gain,0.0,0.0,0.96,0.9333,0.00011,0.0,FPR
equal_hetero,null,3,400,3,complete,clone_calibrated_v3,0.0067,0.0,0.9933,0.9467,-0.00019,0.0,FPR
equal_hetero,null,20,400,3,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.20831,0.0,FPR
equal_hetero,null,20,400,3,complete,frozen_gain,0.0133,0.0,0.98,0.98,0.00078,0.0,FPR
equal_hetero,null,20,400,3,complete,crossfit_gain,0.0,0.0,0.9933,0.9467,0.00181,0.0,FPR
equal_hetero,null,20,400,3,complete,clone_calibrated_v3,0.0133,0.0,0.9867,0.92,-0.00102,0.0,FPR
equal_hetero,null,9,100,3,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.18829,0.0,FPR
equal_hetero,null,9,100,3,complete,frozen_gain,0.0067,0.0,0.96,0.96,0.00207,0.0,FPR
equal_hetero,null,9,100,3,complete,crossfit_gain,0.0067,0.0,0.9667,0.9133,0.00376,0.0,FPR
equal_hetero,null,9,100,3,complete,clone_calibrated_v3,0.02,0.0,0.98,0.88,-0.00122,0.0,FPR
equal_hetero,null,9,1000,3,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.21013,0.0,FPR
equal_hetero,null,9,1000,3,complete,frozen_gain,0.0067,0.0,0.9533,0.94,-0.00084,0.0,FPR
equal_hetero,null,9,1000,3,complete,crossfit_gain,0.0,0.0,0.9667,0.9133,-0.00013,0.0,FPR
equal_hetero,null,9,1000,3,complete,clone_calibrated_v3,0.0067,0.0,0.9933,0.92,0.0015,0.0,FPR
equal_hetero,null,9,400,3,mcar5,plugin_descriptive,0.66,0.0,0.34,0.0,0.20642,0.0,FPR
equal_hetero,null,9,400,3,mcar5,frozen_gain,0.0133,0.0,0.9667,0.96,-0.00058,0.0,FPR
equal_hetero,null,9,400,3,mcar5,crossfit_gain,0.0067,0.0,0.96,0.92,0.00068,0.0,FPR
equal_hetero,null,9,400,3,mcar5,clone_calibrated_v3,0.0,0.0,1.0,0.9067,0.00568,0.0,FPR
equal_hetero,null,9,400,3,mnar_hard3,plugin_descriptive,0.0467,0.0,0.9533,0.0,0.20875,0.0,FPR
equal_hetero,null,9,400,3,mnar_hard3,frozen_gain,0.0067,0.0,0.9133,0.9667,-0.00372,0.0,FPR
equal_hetero,null,9,400,3,mnar_hard3,crossfit_gain,0.0133,0.0,0.9467,0.9067,-0.00172,0.0,FPR
equal_hetero,null,9,400,3,mnar_hard3,clone_calibrated_v3,0.0,0.0,1.0,0.8867,0.00243,0.0,FPR
dominance_clean,null,9,400,3,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.12854,0.0,FPR
dominance_clean,null,9,400,3,complete,frozen_gain,0.0,0.0,0.41,0.49,-0.01644,0.0,FPR
dominance_clean,null,9,400,3,complete,crossfit_gain,0.0,0.0,0.1733,0.1733,-0.0164,0.0,FPR
dominance_clean,null,9,400,3,complete,clone_calibrated_v3,0.0,0.0,1.0,0.0,-0.09569,0.0,FPR
dominance_clean,null,9,400,5,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.10791,0.0,FPR
dominance_clean,null,9,400,5,complete,frozen_gain,0.0,0.0,0.18,0.1867,-0.01672,0.0,FPR
dominance_clean,null,9,400,5,complete,crossfit_gain,0.0,0.0,0.0,0.0,-0.01657,0.0,FPR
dominance_clean,null,9,400,5,complete,clone_calibrated_v3,0.0,0.0,1.0,0.0067,-0.08931,0.0,FPR
dominance_clean,null,9,400,10,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.06936,0.0,FPR
dominance_clean,null,9,400,10,complete,frozen_gain,0.0,0.0,0.0067,0.0067,-0.01668,0.0,FPR
dominance_clean,null,9,400,10,complete,crossfit_gain,0.0,0.0,0.0,0.0,-0.0165,0.0,FPR
dominance_clean,null,9,400,10,complete,clone_calibrated_v3,0.0,0.0,1.0,0.0,-0.07861,0.0,FPR
dominance_clean,null,9,400,20,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.03673,0.0,FPR
dominance_clean,null,9,400,20,complete,frozen_gain,0.0,0.0,0.0,0.0,-0.01665,0.0,FPR
dominance_clean,null,9,400,20,complete,crossfit_gain,0.0,0.0,0.0,0.0,-0.01656,0.0,FPR
dominance_clean,null,9,400,20,complete,clone_calibrated_v3,0.0,0.0,1.0,0.0,-0.06122,0.0,FPR
dominance_clean,null,3,400,3,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.08163,0.0,FPR
dominance_clean,null,3,400,3,complete,frozen_gain,0.0,0.0,0.42,0.4733,-0.01527,0.0,FPR
